"corner_place_id","google_id","name","neighborhood","website","instagram_handle","tags"
432,"ChIJfd-PtKNZwokR-m-0kzVTgBs","Thai Villa","Chelsea","https://thaivillanyc.com/","thaivillanyc","{restaurant}"
1211,"ChIJLyS5dYRZwokRlkA0g9eijjs","Laser Wolf Brooklyn","Brooklyn","https://www.laserwolfbrooklyn.com/","laserwolf_bk","{restaurant}"
21845,"ChIJhUDJFUVZwokRkNERZsyOxWo","ARIARI","East Village","https://ariarinyc.com/","ariarinyc","{restaurant}"
222,"ChIJK_ojbpxZwokR6hv_SRNgG9Q","Cha-An","East Village","https://www.chaanteahouse.com/","chaanteahouse","{cafe,restaurant}"
48860,"ChIJaWBLA_pZwokRX2BYIIr6rwE","Moono","Midtown South","http://www.moononyc.com/","moono.nyc","{restaurant}"
8578,"ChIJw9h8wGpZwokRitJrDNaSqrg","Lysée","Flatiron District","https://www.lyseenyc.com/","lysee.nyc","{shop}"
2485,"ChIJCXoPsPRYwokRsV1MYnKBfaI","American Museum of Natural History","Upper West Side","https://www.amnh.org/",,"{culture}"
907,"ChIJ5-8q3ST2wokRUmUlDRQUb7g","Mama's TOO! Upper West Side","Bloomingdale","http://mamastoo.com/","mamas_too","{restaurant}"
55991,"ChIJJ4WSJoZZwokRJVJJaTVLn1o","Popup Bagels","Greenwich Village","https://www.popupbagels.com/","popupbagels","{bakery}"
3365,"ChIJCfLy3phZwokRYh582zJlIiA","The Nines","NoHo","http://ninesnyc.com/","thenines_nyc","{restaurant}"
1154,"ChIJETquaPVZwokRVYYGSKrg4E0","Bubby's","Tribeca","https://www.bubbys.com/","bubbys","{bar,bakery,restaurant}"
2753,"ChIJDeMIF1xZwokRoII7oV2s-HE","Land to Sea","Brooklyn","http://landtoseanyc.com/","landtoseanyc","{cafe,bar}"
9907,"ChIJR9OEk_BdwokR9Qxlpi3I1ro","Eyval","Brooklyn","http://www.eyvalnyc.com/","eyval_brooklyn","{restaurant}"
12548,"ChIJ9aMCWaxbwokRZHJGmTBxFtQ","Time Out Market New York","Brooklyn","https://www.timeoutmarket.com/newyork/","timeoutmarketnewyork","{restaurant,bar}"
2444,"ChIJo4XQ00RbwokRomqfPVik1s4","Le Dive","Chinatown","http://www.ledivenyc.com/","ledivenyc","{night_club,bar}"
8853,"ChIJP8URcY5ZwokRhFpdfNcK-FI","Sadelle's New York","SoHo","https://www.sadelles.com/?utm_medium=Click&utm_source=GoogleMyBusiness","majorfoodgroup","{restaurant}"
2711,"ChIJZyJMS5xZwokR6LR59bMP6s8","Hi-Collar","East Village","http://www.hi-collar.com/","hi_collar","{restaurant,bar}"
2703,"ChIJe8TwIpRYwokRbZVYCpL0UWo","Albertine","Upper East Side","http://www.albertine.com/","albertinebooks","{book_store,shop}"
20646,"ChIJ3453OAdZwokRja92OOKCugM","The Morgan Library & Museum","Murray Hill","https://www.themorgan.org/","themorganlibrary","{culture}"
534,"ChIJcfbyqFNZwokRUoBP92II4c0","Nami Nori","West Village","http://naminori.nyc/","naminori.nyc","{restaurant}"
1940,"ChIJxZmzO7hZwokRx2fls4uU4YU","Semma","West Village","http://semma.nyc/","semmanyc","{restaurant}"
101426,"ChIJ3dBW9_dZwokR43yOR9TxvXE","Sorate","SoHo","https://sorate.co/","sorate.co","{destination}"
623,"ChIJ3au6oIdZwokRRpuRY9nbgik","Shu Jiao Fu Zhou","Chinatown","https://www.shujiaony.com/",,"{restaurant}"
13987,"ChIJ2YwyMVhZwokRE47dTb7x1fo","OKONOMI Brooklyn","Brooklyn","https://www.okonomi.us/","okonomi_yujiramen","{restaurant}"
2374,"ChIJxwwfGoJZwokRdkYwAaTplOg","Pause Cafe","Lower East Side","http://www.pausecafenyc.com/","pausecafenyc","{cafe,restaurant}"
21794,"ChIJAQCweZxZwokRmyqYmYM3Ze8","Mountain House East Village 川山甲","East Village","https://www.szechuanmountainhouse.com/","szechuanmountainhouse","{restaurant}"
1150,"ChIJbQc9ABZZwokRMAK6C-Ekxg4","Bonnie's","Brooklyn","https://www.bonniesbrooklyn.com/","bonniesbrooklyn","{restaurant}"
139245,"ChIJ02sY7ydZwokRQNtTpmBywcc","KIJITORA","Brooklyn","https://www.kijitorabrooklyn.com/",,"{cafe}"
4347,"ChIJI3VG1kxYwokRECoJD1lSvSY","Parcelle Chinatown","Chinatown","http://www.parcellewine.com/","parcellewine","{restaurant,bar}"
2347,"ChIJqaiomQBZwokRTHOaUG7fUTs","New York Public Library - Stephen A. Schwarzman Building","Midtown South","https://www.nypl.org/locations/schwarzman","nypl","{culture}"
15968,"ChIJV8leYltbwokRj0VpRTF8wqk","Reception Bar","Chinatown","http://receptionbar.nyc/","receptionbar.nyc","{bar,night_club}"
16170,"ChIJ4-bYSvxbwokRPhLlLQFzOEo","Win Son","Brooklyn","https://winsonbrooklyn.com/",,"{restaurant}"
1953,"ChIJ7VEEjYNZwokRS0bdsXA3uyg","Russ & Daughters","Lower East Side","https://www.russanddaughters.com/","russanddaughters","{bakery,restaurant}"
14987,"ChIJW-3UoWxZwokRrli2mpfYZdo","NUBIANI","Midtown South","https://www.nubianinyc.com/","nubiani.nyc","{restaurant}"
1954,"ChIJeSToyohZwokRVHVIMsXPIUk","Little Ruby's SoHo","Little Italy","https://www.rubyscafe.com/","rubyscafe","{restaurant}"
15964,"ChIJo7aE7KVZwokROU0QFO30FLA","Patent Pending","NoMad","https://www.patentpendingnyc.com/",,"{bar}"
439,"ChIJ_RUJvZZZwokRNUEv3K4nSik","OLIO E PIÙ","West Village","https://www.olioepiu.com/","olioepiu","{restaurant}"
7121,"ChIJ8eEu0JxZwokRNFpDI_HBFmc","Raku","East Village","http://www.rakunyc.com/","rakunyc","{restaurant}"
2454,"ChIJmSvG_ZFZwokRTOFeiLXzkmA","Carbone New York","Greenwich Village","https://www.carbonenewyork.com/?utm_medium=Click&utm_source=GoogleMyBusiness","majorfoodgroup","{restaurant}"
33,"ChIJrVAECUhfwokRsoEFM0dN67Q","Elsewhere","Brooklyn","http://www.elsewherebrooklyn.com/?utm_source=google-my-business&utm_medium=organic","elsewherespace","{night_club,bar}"
15013,"ChIJeWk_ncJZwokR1QHfApa0dQo","Pranakhon","Greenwich Village","https://pranakhonnyc.com/",,"{restaurant}"
48602,"ChIJ-3ZSb5xZwokRDb2PQKNwwbU","Sake Bar Decibel","East Village","http://www.sakebardecibel.com/","sakebar.decibel","{bar}"
3357,"ChIJm7ryTglZwokRsgnJB6CDMCo","Wayan","Little Italy","http://www.wayan-nyc.com/","wayan_nyc","{restaurant}"
3326,"ChIJyW-u9iZawokRY1sHXGzZHGI","Chinese Tuxedo","Chinatown","http://www.chinesetuxedo.com/",,"{restaurant}"
3294,"ChIJ-7AOKpRZwokRMq0XnG_eehU","4 Charles Prime Rib","West Village","https://nycprimerib.com/",,"{restaurant}"
614,"ChIJi7zDhGVZwokRwoHkVROLwlk","ACRE","Greenpoint","http://acrenyc.com/","acre_nyc","{restaurant}"
114895,"ChIJ7WHiw8NZwokRcBER8ZksOJk","Duo Cafe","East Village",,,"{shop}"
15206,"ChIJL-CJmTFZwokRsPcqje_bn7w","Little Island","Manhattan","https://littleisland.org/","littleislandnyc","{nature}"
28957,"ChIJHVqM3eFZwokR8EULdHItPac","Kettl Tea","Greenpoint","http://kettl.co/",,"{bakery,cafe,restaurant}"
417,"ChIJ2ZeQHIdZwokRQHE0IoFSeus","Round K by Sol","Chinatown","https://www.roundkbysol.com/","roundk_by_sol","{restaurant,cafe,bar}"
23676,"ChIJxy0SM0xZwokR5vC0f4wVlP0","Tatiana by Kwame Onwuachi","Lincoln Square","https://www.tatiananyc.com/","tatianabychefkwame","{restaurant}"
22862,"ChIJe4VNN51ZwokROEd_MDhh1mQ","Ho Foods","East Village","http://www.hofoodsnyc.com/",,"{restaurant}"
